#x-axis,1,2
#second,Volt,Volt
#+2.975000E-03,,
#+2.975100E-03,,
#+2.975200E-03,,
#+2.975300E-03,,
#+2.975400E-03,,
#+2.975500E-03,,
+2.975600E-03,-17.487447E-03,-1.407046E-03
+2.975700E-03,-9.447247E-03,+6.633155E-03
+2.975800E-03,-6.934684E-03,+9.145718E-03
+2.975900E-03,-6.934684E-03,+9.145718E-03
+2.976000E-03,-6.934684E-03,+9.145718E-03
+2.976100E-03,-6.934684E-03,+9.145718E-03
+2.976200E-03,-6.934684E-03,+9.145718E-03
+2.976300E-03,-6.934684E-03,+14.673356E-03
+2.976400E-03,-11.959809E-03,+7.135668E-03
+2.976500E-03,-14.974885E-03,+6.633155E-03
+2.976600E-03,-14.974885E-03,+14.673356E-03
+2.976700E-03,-14.974885E-03,+12.160793E-03
+2.976800E-03,-20.000010E-03,+14.673356E-03
+2.976900E-03,-17.487447E-03,+12.160793E-03
+2.977000E-03,-14.974885E-03,+9.145718E-03
+2.977100E-03,-14.974885E-03,+9.145718E-03
+2.977200E-03,-20.000010E-03,+9.145718E-03
+2.977300E-03,-17.487447E-03,+9.145718E-03
+2.977400E-03,-14.974885E-03,+4.120592E-03
+2.977500E-03,-14.974885E-03,+1.105517E-03
+2.977600E-03,-14.974885E-03,+1.105517E-03
+2.977700E-03,-20.000010E-03,-8.944734E-03
+2.977800E-03,-17.487447E-03,-4.422121E-03
+2.977900E-03,-14.974885E-03,-3.919608E-03
+2.978000E-03,-14.974885E-03,-11.959809E-03
+2.978100E-03,-14.974885E-03,-9.447247E-03
+2.978200E-03,-14.974885E-03,-6.934684E-03
+2.978300E-03,-14.974885E-03,-11.959809E-03
+2.978400E-03,-14.974885E-03,-9.447247E-03
+2.978500E-03,-20.000010E-03,-11.959809E-03
+2.978600E-03,-17.487447E-03,-9.447247E-03
+2.978700E-03,-9.447247E-03,-11.959809E-03
+2.978800E-03,-11.959809E-03,-9.447247E-03
+2.978900E-03,-14.974885E-03,-6.934684E-03
+2.979000E-03,-20.000010E-03,-6.934684E-03
+2.979100E-03,-17.487447E-03,-1.407046E-03
+2.979200E-03,-14.974885E-03,+1.105517E-03
+2.979300E-03,-9.447247E-03,+1.105517E-03
+2.979400E-03,-6.934684E-03,-3.919608E-03
+2.979500E-03,-6.934684E-03,-6.934684E-03
+2.979600E-03,-11.959809E-03,-1.407046E-03
+2.979700E-03,-9.447247E-03,-3.919608E-03
+2.979800E-03,-6.934684E-03,-6.934684E-03
+2.979900E-03,-6.934684E-03,-6.934684E-03
+2.980000E-03,-6.934684E-03,-6.934684E-03
+2.980100E-03,-6.934684E-03,-6.934684E-03
+2.980200E-03,-6.934684E-03,-6.934684E-03
+2.980300E-03,-6.934684E-03,-6.934684E-03
+2.980400E-03,-6.934684E-03,-6.934684E-03
+2.980500E-03,-6.934684E-03,-6.934684E-03
+2.980600E-03,-1.407046E-03,-6.934684E-03
+2.980700E-03,-3.919608E-03,-11.959809E-03
